0 6.52 28.8
0.1 6.52 27.7
0.2 ?6.52 ?
0.3 6.52 27.3
0.4 ?6.52 ?
0.5 6.52 26.9
0.6 ?6.52 ?
0.7 6.52 26.5
0.8 ?6.52 ?
0.9 ?6.52 ?
1 6.52 26.4
